A:f5 F:10 B:01 C:10 D:c0 E:1f H:40 L:20 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:f5 F:10 B:01 C:10 D:c0 E:1f H:40 L:20 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:f5 F:30 B:01 C:10 D:c0 E:20 H:40 L:20 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:f5 F:30 B:01 C:10 D:c0 E:20 H:40 L:20 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:3e F:30 B:01 C:10 D:c0 E:20 H:40 L:21 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:3e F:30 B:01 C:10 D:c0 E:20 H:40 L:21 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:3e F:10 B:01 C:10 D:c0 E:21 H:40 L:21 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:3e F:10 B:01 C:10 D:c0 E:21 H:40 L:21 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:ff F:10 B:01 C:10 D:c0 E:21 H:40 L:22 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:ff F:10 B:01 C:10 D:c0 E:21 H:40 L:22 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:ff F:10 B:01 C:10 D:c0 E:22 H:40 L:22 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:ff F:10 B:01 C:10 D:c0 E:22 H:40 L:22 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:cd F:10 B:01 C:10 D:c0 E:22 H:40 L:23 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:cd F:10 B:01 C:10 D:c0 E:22 H:40 L:23 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:cd F:10 B:01 C:10 D:c0 E:23 H:40 L:23 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:cd F:10 B:01 C:10 D:c0 E:23 H:40 L:23 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:12 F:10 B:01 C:10 D:c0 E:23 H:40 L:24 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:12 F:10 B:01 C:10 D:c0 E:23 H:40 L:24 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:12 F:10 B:01 C:10 D:c0 E:24 H:40 L:24 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:12 F:10 B:01 C:10 D:c0 E:24 H:40 L:24 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:c0 F:10 B:01 C:10 D:c0 E:24 H:40 L:25 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:c0 F:10 B:01 C:10 D:c0 E:24 H:40 L:25 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:c0 F:10 B:01 C:10 D:c0 E:25 H:40 L:25 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:c0 F:10 B:01 C:10 D:c0 E:25 H:40 L:25 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:3e F:10 B:01 C:10 D:c0 E:25 H:40 L:26 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:3e F:10 B:01 C:10 D:c0 E:25 H:40 L:26 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:3e F:10 B:01 C:10 D:c0 E:26 H:40 L:26 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:3e F:10 B:01 C:10 D:c0 E:26 H:40 L:26 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:d4 F:10 B:01 C:10 D:c0 E:26 H:40 L:27 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:d4 F:10 B:01 C:10 D:c0 E:26 H:40 L:27 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:d4 F:10 B:01 C:10 D:c0 E:27 H:40 L:27 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:d4 F:10 B:01 C:10 D:c0 E:27 H:40 L:27 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:cd F:10 B:01 C:10 D:c0 E:27 H:40 L:28 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:cd F:10 B:01 C:10 D:c0 E:27 H:40 L:28 SP:fffe PC:0208 PCMEM:1c,20,fb,14
A:cd F:10 B:01 C:10 D:c0 E:28 H:40 L:28 SP:fffe PC:0209 PCMEM:20,fb,14,0d
A:cd F:10 B:01 C:10 D:c0 E:28 H:40 L:28 SP:fffe PC:0206 PCMEM:2a,12,1c,20
A:03 F:10 B:01 C:10 D:c0 E:28 H:40 L:29 SP:fffe PC:0207 PCMEM:12,1c,20,fb
A:03 F:10 B:01 C:10 D:c0 E:28 H:40 L:29 SP:fffe PC:0208 PCMEM:1c,20,fb,14
